,Name,Defending,General,Mental,Passing,Mobility,Power,Rating,Shooting,Nationality,Flag,Club,club_logo,Photo
57,Ederson,17,22,43,45,68,54,88,22,Brazil,https://cdn.sofifa.org/flags/54.png,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,https://cdn.sofifa.org/players/4/19/210257.png
58,S. Mané,41,77,71,74,91,78,86,74,Senegal,https://cdn.sofifa.org/flags/136.png,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,https://cdn.sofifa.org/players/4/19/208722.png
59,V. van Dijk,87,71,70,69,74,74,87,62,Netherlands,https://cdn.sofifa.org/flags/34.png,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,https://cdn.sofifa.org/players/4/19/203376.png
60,R. Sterling,53,71,62,77,92,70,88,70,England,https://cdn.sofifa.org/flags/14.png,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,https://cdn.sofifa.org/players/4/19/202652.png
61,Roberto Firmino,55,83,78,78,80,82,86,77,Brazil,https://cdn.sofifa.org/flags/54.png,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,https://cdn.sofifa.org/players/4/19/201942.png
62,R. Varane,87,66,68,62,78,69,88,47,France,https://cdn.sofifa.org/flags/18.png,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,https://cdn.sofifa.org/players/4/19/201535.png
63,M. Verratti,80,76,85,84,76,72,88,61,Italy,https://cdn.sofifa.org/flags/27.png,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,https://cdn.sofifa.org/players/4/19/199556.png
64,Alex Sandro,83,79,77,79,83,82,86,66,Brazil,https://cdn.sofifa.org/flags/54.png,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,https://cdn.sofifa.org/players/4/19/191043.png
65,Douglas Costa,39,79,69,79,92,73,86,77,Brazil,https://cdn.sofifa.org/flags/54.png,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,https://cdn.sofifa.org/players/4/19/190483.png
66,T. Müller,43,80,75,78,78,77,86,75,Germany,https://cdn.sofifa.org/flags/21.png,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,https://cdn.sofifa.org/players/4/19/189596.png
67,Thiago,65,80,77,83,80,74,86,78,Spain,https://cdn.sofifa.org/flags/45.png,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,https://cdn.sofifa.org/players/4/19/189509.png
68,M. Reus,43,78,71,80,86,73,86,87,Germany,https://cdn.sofifa.org/flags/21.png,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,https://cdn.sofifa.org/players/4/19/188350.png
69,Azpilicueta,88,72,77,81,78,77,86,58,Spain,https://cdn.sofifa.org/flags/45.png,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,https://cdn.sofifa.org/players/4/19/184432.png
70,L. Bonucci,85,72,74,69,66,73,86,63,Italy,https://cdn.sofifa.org/flags/27.png,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,https://cdn.sofifa.org/players/4/19/184344.png
71,T. Alderweireld,89,70,75,76,68,72,86,59,Belgium,https://cdn.sofifa.org/flags/7.png,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,https://cdn.sofifa.org/players/4/19/184087.png
72,M. Pjanić,73,80,78,85,73,71,86,77,Bosnia Herzegovina,https://cdn.sofifa.org/flags/8.png,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,https://cdn.sofifa.org/players/4/19/180206.png
73,M. Benatia,87,61,68,58,70,74,86,42,Morocco,https://cdn.sofifa.org/flags/129.png,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,https://cdn.sofifa.org/players/4/19/177509.png
74,M. Özil,20,78,66,85,76,61,86,74,Germany,https://cdn.sofifa.org/flags/21.png,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,https://cdn.sofifa.org/players/4/19/176635.png
75,Fernandinho,83,73,80,78,73,77,86,73,Brazil,https://cdn.sofifa.org/flags/54.png,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,https://cdn.sofifa.org/players/4/19/135507.png
76,Iniesta,60,79,77,84,76,61,86,70,Spain,https://cdn.sofifa.org/flags/45.png,Vissel Kobe,https://cdn.sofifa.org/teams/2/light/101146.png,https://cdn.sofifa.org/players/4/19/41.png
77,M. Škriniar,87,60,68,59,68,72,88,41,Slovakia,https://cdn.sofifa.org/flags/43.png,Inter,https://cdn.sofifa.org/teams/2/light/44.png,https://cdn.sofifa.org/players/4/19/232363.png
78,S. Milinković-Savić,75,84,79,78,71,79,88,75,Serbia,https://cdn.sofifa.org/flags/51.png,Lazio,https://cdn.sofifa.org/teams/2/light/46.png,https://cdn.sofifa.org/players/4/19/223848.png
79,Marco Asensio,40,76,68,82,82,68,88,79,Spain,https://cdn.sofifa.org/flags/45.png,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,https://cdn.sofifa.org/players/4/19/220834.png
80,N. Fekir,31,77,70,80,82,80,87,81,France,https://cdn.sofifa.org/flags/18.png,Olympique Lyonnais,https://cdn.sofifa.org/teams/2/light/66.png,https://cdn.sofifa.org/players/4/19/216594.png
81,Alisson,17,24,36,35,56,50,88,18,Brazil,https://cdn.sofifa.org/flags/54.png,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,https://cdn.sofifa.org/players/4/19/212831.png
82,J. Kimmich,78,80,79,85,79,78,86,63,Germany,https://cdn.sofifa.org/flags/21.png,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,https://cdn.sofifa.org/players/4/19/212622.png
83,Saúl,77,81,79,79,76,78,88,71,Spain,https://cdn.sofifa.org/flags/45.png,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,https://cdn.sofifa.org/players/4/19/208421.png
84,R. Mahrez,31,78,67,80,85,70,85,77,Algeria,https://cdn.sofifa.org/flags/97.png,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,https://cdn.sofifa.org/players/4/19/204485.png
85,D. Alaba,81,79,77,81,82,79,86,77,Austria,https://cdn.sofifa.org/flags/4.png,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,https://cdn.sofifa.org/players/4/19/197445.png
86,Koke,67,78,77,88,74,77,86,71,Spain,https://cdn.sofifa.org/flags/45.png,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,https://cdn.sofifa.org/players/4/19/193747.png
87,A. Lacazette,34,79,72,68,84,78,86,80,France,https://cdn.sofifa.org/flags/18.png,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,https://cdn.sofifa.org/players/4/19/193301.png
88,K. Manolas,87,57,60,49,80,76,86,19,Greece,https://cdn.sofifa.org/flags/22.png,Roma,https://cdn.sofifa.org/teams/2/light/52.png,https://cdn.sofifa.org/players/4/19/192774.png
89,N. Otamendi,84,64,72,66,65,75,85,53,Argentina,https://cdn.sofifa.org/flags/52.png,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,https://cdn.sofifa.org/players/4/19/192366.png
90,Parejo,66,78,77,87,60,68,85,81,Spain,https://cdn.sofifa.org/flags/45.png,Valencia CF,https://cdn.sofifa.org/teams/2/light/461.png,https://cdn.sofifa.org/players/4/19/189513.png
91,Paulinho,76,79,81,76,75,82,85,77,Brazil,https://cdn.sofifa.org/flags/54.png,Guangzhou Evergrande Taobao FC,https://cdn.sofifa.org/teams/2/light/111839.png,https://cdn.sofifa.org/players/4/19/187961.png
92,W. Szczęsny,15,16,36,27,59,58,86,14,Poland,https://cdn.sofifa.org/flags/37.png,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,https://cdn.sofifa.org/players/4/19/186153.png
93,A. Sánchez,39,81,75,76,84,82,85,80,Chile,https://cdn.sofifa.org/flags/55.png,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,https://cdn.sofifa.org/players/4/19/184941.png
94,Y. Brahimi,37,77,67,77,84,73,85,74,Algeria,https://cdn.sofifa.org/flags/97.png,FC Porto,https://cdn.sofifa.org/teams/2/light/236.png,https://cdn.sofifa.org/players/4/19/184267.png
95,J. Boateng,86,68,74,76,69,72,85,50,Germany,https://cdn.sofifa.org/flags/21.png,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,https://cdn.sofifa.org/players/4/19/183907.png
96,A. Vidal,85,79,84,79,68,80,85,79,Chile,https://cdn.sofifa.org/flags/55.png,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,https://cdn.sofifa.org/players/4/19/181872.png
97,I. Perišić,57,80,76,80,83,81,85,79,Croatia,https://cdn.sofifa.org/flags/10.png,Inter,https://cdn.sofifa.org/teams/2/light/44.png,https://cdn.sofifa.org/players/4/19/181458.png
98,E. Džeko,34,77,69,71,68,64,85,75,Bosnia Herzegovina,https://cdn.sofifa.org/flags/8.png,Roma,https://cdn.sofifa.org/teams/2/light/52.png,https://cdn.sofifa.org/players/4/19/180930.png
99,S. Khedira,80,77,83,80,64,72,85,74,Germany,https://cdn.sofifa.org/flags/21.png,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,https://cdn.sofifa.org/players/4/19/179846.png
100,Diego Costa,44,76,75,61,73,71,85,76,Spain,https://cdn.sofifa.org/flags/45.png,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,https://cdn.sofifa.org/players/4/19/179844.png
101,R. Nainggolan,86,74,84,79,78,82,85,75,Belgium,https://cdn.sofifa.org/flags/7.png,Inter,https://cdn.sofifa.org/teams/2/light/44.png,https://cdn.sofifa.org/players/4/19/178518.png
102,Naldo,86,68,70,64,64,56,85,71,Brazil,https://cdn.sofifa.org/flags/54.png,FC Schalke 04,https://cdn.sofifa.org/teams/2/light/34.png,https://cdn.sofifa.org/players/4/19/171919.png
103,B. Matuidi,85,72,80,78,81,83,85,65,France,https://cdn.sofifa.org/flags/18.png,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,https://cdn.sofifa.org/players/4/19/170890.png
104,Miranda,88,63,70,62,69,71,85,49,Brazil,https://cdn.sofifa.org/flags/54.png,Inter,https://cdn.sofifa.org/teams/2/light/44.png,https://cdn.sofifa.org/players/4/19/168609.png
105,K. Benzema,25,82,67,73,78,74,85,79,France,https://cdn.sofifa.org/flags/18.png,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,https://cdn.sofifa.org/players/4/19/165153.png
106,Filipe Luís,83,76,79,81,78,74,85,64,Brazil,https://cdn.sofifa.org/flags/54.png,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,https://cdn.sofifa.org/players/4/19/164169.png
107,V. Kompany,85,70,70,67,64,66,85,56,Belgium,https://cdn.sofifa.org/flags/7.png,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,https://cdn.sofifa.org/players/4/19/139720.png
108,Pepe,84,61,69,59,70,68,85,49,Portugal,https://cdn.sofifa.org/flags/38.png,Beşiktaş JK,https://cdn.sofifa.org/teams/2/light/327.png,https://cdn.sofifa.org/players/4/19/120533.png
109,Z. Ibrahimović,30,82,72,75,68,64,85,86,Sweden,https://cdn.sofifa.org/flags/46.png,LA Galaxy,https://cdn.sofifa.org/teams/2/light/697.png,https://cdn.sofifa.org/players/4/19/41236.png
110,D. Sánchez,86,62,65,60,73,72,86,42,Colombia,https://cdn.sofifa.org/flags/56.png,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,https://cdn.sofifa.org/players/4/19/220793.png
111,J. Giménez,87,55,60,58,68,72,86,45,Uruguay,https://cdn.sofifa.org/flags/60.png,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,https://cdn.sofifa.org/players/4/19/216460.png
112,Alex Telles,80,81,78,86,81,78,86,72,Brazil,https://cdn.sofifa.org/flags/54.png,FC Porto,https://cdn.sofifa.org/teams/2/light/236.png,https://cdn.sofifa.org/players/4/19/212462.png
113,A. Laporte,86,70,70,71,64,70,86,52,France,https://cdn.sofifa.org/flags/18.png,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,https://cdn.sofifa.org/players/4/19/212218.png
114,Bruno Fernandes,61,78,77,84,79,76,86,82,Portugal,https://cdn.sofifa.org/flags/38.png,Sporting CP,https://cdn.sofifa.org/teams/2/light/237.png,https://cdn.sofifa.org/players/4/19/212198.png
115,N. Süle,83,55,58,57,62,58,87,42,Germany,https://cdn.sofifa.org/flags/21.png,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,https://cdn.sofifa.org/players/4/19/212190.png
116,A. Martial,38,82,67,71,86,76,87,76,France,https://cdn.sofifa.org/flags/18.png,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,https://cdn.sofifa.org/players/4/19/211300.png
117,D. Alli,68,80,83,78,78,72,87,77,England,https://cdn.sofifa.org/flags/14.png,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,https://cdn.sofifa.org/players/4/19/211117.png
118,Fabinho,84,76,80,80,73,78,86,67,Brazil,https://cdn.sofifa.org/flags/54.png,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,https://cdn.sofifa.org/players/4/19/209499.png
119,Marquinhos,86,66,68,77,75,76,86,36,Brazil,https://cdn.sofifa.org/flags/54.png,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,https://cdn.sofifa.org/players/4/19/207865.png
120,William Carvalho,79,78,79,79,57,74,85,54,Portugal,https://cdn.sofifa.org/flags/38.png,Real Betis,https://cdn.sofifa.org/teams/2/light/449.png,https://cdn.sofifa.org/players/4/19/207566.png
121,Jorginho,70,74,79,84,77,69,86,70,Italy,https://cdn.sofifa.org/flags/27.png,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,https://cdn.sofifa.org/players/4/19/205498.png
122,F. Thauvin,35,83,69,81,84,74,86,78,France,https://cdn.sofifa.org/flags/18.png,Olympique de Marseille,https://cdn.sofifa.org/teams/2/light/219.png,https://cdn.sofifa.org/players/4/19/204970.png
123,Carvajal,84,75,72,78,82,78,86,44,Spain,https://cdn.sofifa.org/flags/45.png,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,https://cdn.sofifa.org/players/4/19/204963.png
124,M. Depay,27,80,70,78,84,78,86,81,Netherlands,https://cdn.sofifa.org/flags/34.png,Olympique Lyonnais,https://cdn.sofifa.org/teams/2/light/66.png,https://cdn.sofifa.org/players/4/19/202556.png
125,H. Son,38,80,69,74,85,72,84,80,Korea Republic,https://cdn.sofifa.org/flags/167.png,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,https://cdn.sofifa.org/players/4/19/200104.png
126,A. Lopes,14,17,38,27,70,63,85,16,Portugal,https://cdn.sofifa.org/flags/38.png,Olympique Lyonnais,https://cdn.sofifa.org/teams/2/light/66.png,https://cdn.sofifa.org/players/4/19/199482.png
127,S. de Vrij,86,65,68,64,69,70,85,39,Netherlands,https://cdn.sofifa.org/flags/34.png,Inter,https://cdn.sofifa.org/teams/2/light/44.png,https://cdn.sofifa.org/players/4/19/198176.png
128,M. Perin,17,17,33,25,66,47,86,17,Italy,https://cdn.sofifa.org/flags/27.png,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,https://cdn.sofifa.org/players/4/19/198009.png
129,J. Cuadrado,69,78,75,76,88,74,84,72,Colombia,https://cdn.sofifa.org/flags/56.png,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,https://cdn.sofifa.org/players/4/19/193082.png
130,Iago Aspas,26,82,70,74,84,69,84,82,Spain,https://cdn.sofifa.org/flags/45.png,RC Celta,https://cdn.sofifa.org/teams/2/light/450.png,https://cdn.sofifa.org/players/4/19/192629.png
131,B. Leno,20,15,35,31,58,57,86,14,Germany,https://cdn.sofifa.org/flags/21.png,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,https://cdn.sofifa.org/players/4/19/192563.png
